export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_published_at,"Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Est-ce que Martoni a encore une balle dans son chargeur ? (1)","Comment trouvez-vous cette présentation ?","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
export_contribution_type_questionnaire_reply,reply1,userWelcomattic,"2016-03-01 00:00:00","Athlétisme, Sports collectifs, Guild Wars 2","Trop bien ! On va voir de supers athlètes à Paris !",,,,,,,,,,,
export_contribution_type_questionnaire_reply,reply2,userAdmin,"2016-03-02 00:00:00","Natation, Sports collectifs, Civilization 6","Youpi ! J'adore des JO","Maxime Arrouard","Assez fort (Mon sonotone est mal réglé)",,"Logo 1","Il bluffe","Il bluffe","Au top",,,very-well,"Sans profession"
export_contribution_type_questionnaire_reply,reply5,userAdmin,"2016-03-05 00:00:00",Natation,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,reply6,user515,"2016-03-06 00:00:00",,,,"Pas assez fort (Mon sonotone est en panne)",,,,,Incohérente,,,,"Profession libérale"
export_contribution_type_questionnaire_reply,reply9,userAdmin,"2016-03-22 00:00:00",,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,replyMajority10,user10,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority11,user11,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority12,user12,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority13,user13,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority14,user14,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority15,user15,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority16,user16,"2016-03-02 00:00:00",,,,,,,,,,,,global-passable,
export_contribution_type_questionnaire_reply,replyMajority17,user17,"2016-03-02 00:00:00",,,,,,,,,,,,global-passable,
export_contribution_type_questionnaire_reply,replyMajority18,user18,"2016-03-02 00:00:00",,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority19,user19,"2016-03-02 00:00:00",,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority20,user20,"2016-03-02 00:00:00",,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority6,user6,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority7,user7,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority8,user8,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority9,user9,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyPrivate,user5,"2019-03-20 00:00:00",,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply1,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War 2: Warhammer","Incroyable ! Tout ces sportifs la wow.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply10,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. J","Enfin un peu de divertissement. Car le divertissement c'est bien à la maison.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply11,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. T","L'autre jour j'étais à la boulangerie des sportifs, des sportifs ? Oui mec des sportifs. Jure des sportifs ? Oui oui des sportfs qui font du sport et du bruit et des phrases un peu longues pour le divertissement à Paris, cette phrase va plus vouloir rien dire mais c'est pas mal et ça régale.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply12,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. M","Aller encore une autre phrase un peu longue parce que bon il faut bien tester tout les cas, comme le cas K , et le cas K des lapins c'est caca, c'est incroyable et fou non comme le lundi à Paris",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply13,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. B","Une autre phrase, parce que le mot phrase il va finir par pas mal remonté au final dans toutes ces réponses qui sont censées être liées au sport. Mais bon a cause du covid y'a plus trop de sport en vrai ou alors tu en fait à la maison mais c'est un peu ghetto quand même tu trouve pas ?",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply14,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. G","D'ailleurs en parlant de sports et de sportifs, je suis toujours aussi dégouté que l'escalade ce soit toujours fermé ça se trouve en 2024 ça aurait pu être moi aux JO à flex sur des murs de fou la. Je continue à remplir un peu cette ligne histoire de faire genre je suis une longue phrase de sportif.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply15,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. !","Et une petite dernière pour la route quand même juste pour vous demandez comment vous allez ? Et la je rajoute des petits mots clés tels que : sportifs, sport, JO, athlètes, beurre de cacahuète, bruit, divertissement, sirop d'érable, une bouteille d'huile et des raviolis mais je crois que je viens de lire ma liste de course en même temps.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply2,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War: Three Kingdoms ","Oui c'est vraiment trop cool.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply3,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War Saga: Troy","Ca va être fou ! Des sportifs de hauts niveaux.",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply4,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War: Warhammer","C'est génial ! On va se régaler. mais",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply5,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War: Rome","Il va y avoir du divertissement ! Et des sportifs ou !",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply6,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War: Britannia","Incroyable ! Tout ces sportifs la wow. est",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply7,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Total War 3: Warhammer","Bof, non pas trop ça va faire du bruit Donc !",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply8,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Plus d'idées de jeux.","Pas trop non plus, j'aime pas le sport. or",,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply9,user150,"2020-01-12 00:00:00","Athlétisme, Sports collectifs, Un jeu stylé de fou.","Le sport c'est cool",,,,,,,,,,,
